experiment,condition,consumer_model,consumer_agent,payload_kind,source_agents,insight_ids,insight_count,payload_characters,payload_utf8_bytes,payload_words,payload_lines,gpt56_terra_tokens,gpt56_terra_token_status,qwen38_27b_tokens,qwen38_27b_token_status,logical_prompt_calls,provider_calls,prompt_block_transfers,total_payload_utf8_bytes,total_payload_tokens_for_executed_model,consumer_input_tokens,consumer_output_tokens,consumer_reasoning_tokens,accuracy_scope,accuracy_n,accuracy_correct,accuracy,source_refs
experiment_1,E,gpt-5.6-terra,agent_3,peer_insight_block,agent_1;agent_2;agent_4,INS-001;INS-002;INS-003;INS-004;INS-007;INS-008,6,2410,2420,258,46,681,exact_in_context_delta,747,exact_in_context_delta,45,46,45,108900,30645,103776,7534,3264,locally-unseen aggregate agent-case,9,2,0.2222222222222222,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_3_E.json
experiment_1,E,gpt-5.6-terra,agent_4,peer_insight_block,agent_1;agent_2;agent_3,INS-001;INS-002;INS-003;INS-004;INS-005;INS-006,6,2361,2378,250,46,690,exact_in_context_delta,754,exact_in_context_delta,45,45,45,107010,31050,103908,7921,3163,locally-unseen aggregate agent-case,9,1,0.1111111111111111,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_4_E.json
exp3_v2,A,gpt-5.6-terra,agent_1,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,90,90,0,0,0,144540,14667,5570,locally-unseen aggregate agent-case,18,0,0.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
exp3_v2,A,gpt-5.6-terra,agent_2,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,90,90,0,0,0,145980,12345,3241,locally-unseen aggregate agent-case,18,0,0.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
exp3_v2,A,gpt-5.6-terra,agent_3,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,90,90,0,0,0,145800,16695,7604,locally-unseen aggregate agent-case,18,0,0.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
exp3_v2,A,gpt-5.6-terra,agent_4,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,90,90,0,0,0,145350,11719,2741,locally-unseen aggregate agent-case,18,0,0.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
exp3_v2,B,gpt-5.6-terra,agent_1,peer_insight_block,agent_2;agent_3;agent_4,INS-003;INS-004;INS-005;INS-006;INS-007;INS-008,6,2289,2304,240,46,664,exact_in_context_delta,724,exact_in_context_delta,90,91,90,207360,59760,204348,13363,4122,locally-unseen aggregate agent-case,18,16,0.8888888888888888,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_1_B.json
exp3_v2,B,gpt-5.6-terra,agent_2,peer_insight_block,agent_1;agent_3;agent_4,INS-001;INS-002;INS-005;INS-006;INS-007;INS-008,6,2327,2336,244,46,684,exact_in_context_delta,749,exact_in_context_delta,90,90,90,210240,61560,207540,13514,3671,locally-unseen aggregate agent-case,18,18,1.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_2_B.json
exp3_v2,B,gpt-5.6-terra,agent_3,peer_insight_block,agent_1;agent_2;agent_4,INS-001;INS-002;INS-003;INS-004;INS-007;INS-008,6,2410,2420,258,46,681,exact_in_context_delta,747,exact_in_context_delta,90,90,90,217800,61290,207090,14868,5385,locally-unseen aggregate agent-case,18,16,0.8888888888888888,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_3_B.json
exp3_v2,B,gpt-5.6-terra,agent_4,peer_insight_block,agent_1;agent_2;agent_3,INS-001;INS-002;INS-003;INS-004;INS-005;INS-006,6,2361,2378,250,46,690,exact_in_context_delta,754,exact_in_context_delta,90,91,90,214020,62100,207498,15491,6200,locally-unseen aggregate agent-case,18,18,1.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_4_B.json
exp3_v2,E,gpt-5.6-terra,agent_1,peer_insight_block,agent_2;agent_3;agent_4,INS-003;INS-004;INS-005;INS-006;INS-007;INS-008,6,2289,2304,240,46,664,exact_in_context_delta,724,exact_in_context_delta,90,90,90,207360,59760,204300,13415,3436,locally-unseen aggregate agent-case,18,1,0.05555555555555555,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_1_E.json
exp3_v2,E,gpt-5.6-terra,agent_2,peer_insight_block,agent_1;agent_3;agent_4,INS-001;INS-002;INS-005;INS-006;INS-007;INS-008,6,2327,2336,244,46,684,exact_in_context_delta,749,exact_in_context_delta,90,90,90,210240,61560,207540,14627,4738,locally-unseen aggregate agent-case,18,0,0.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_2_E.json
exp3_v2,E,gpt-5.6-terra,agent_3,peer_insight_block,agent_1;agent_2;agent_4,INS-001;INS-002;INS-003;INS-004;INS-007;INS-008,6,2410,2420,258,46,681,exact_in_context_delta,747,exact_in_context_delta,90,90,90,217800,61290,207090,15285,5626,locally-unseen aggregate agent-case,18,3,0.16666666666666666,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_3_E.json
exp3_v2,E,gpt-5.6-terra,agent_4,peer_insight_block,agent_1;agent_2;agent_3,INS-001;INS-002;INS-003;INS-004;INS-005;INS-006,6,2361,2378,250,46,690,exact_in_context_delta,754,exact_in_context_delta,90,90,90,214020,62100,207450,16287,6565,locally-unseen aggregate agent-case,18,0,0.0,git:exp3-v2-inference-frozen-001:inference_outputs/records/*.json;git:exp3-v2-results-frozen-001:evaluation_outputs/exp3v2_confirmatory_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_4_E.json
experiment_2_qwen,A,Qwen/Qwen3.8-27B-FP8,agent_1,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,71160,34971,30267,locally-unseen aggregate agent-case,9,0,0.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_2_qwen,A,Qwen/Qwen3.8-27B-FP8,agent_2,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,71970,17055,12705,locally-unseen aggregate agent-case,9,0,0.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_2_qwen,A,Qwen/Qwen3.8-27B-FP8,agent_3,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,72330,25590,21204,locally-unseen aggregate agent-case,9,0,0.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_2_qwen,A,Qwen/Qwen3.8-27B-FP8,agent_4,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,71745,24150,19662,locally-unseen aggregate agent-case,9,0,0.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_2_qwen,B,Qwen/Qwen3.8-27B-FP8,agent_1,peer_insight_block,agent_2;agent_3;agent_4,INS-003;INS-004;INS-005;INS-006;INS-007;INS-008,6,2289,2304,240,46,664,exact_in_context_delta,724,exact_in_context_delta,45,45,45,103680,32580,103740,34320,28833,locally-unseen aggregate agent-case,9,9,1.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_1_B.json
experiment_2_qwen,B,Qwen/Qwen3.8-27B-FP8,agent_2,peer_insight_block,agent_1;agent_3;agent_4,INS-001;INS-002;INS-005;INS-006;INS-007;INS-008,6,2327,2336,244,46,684,exact_in_context_delta,749,exact_in_context_delta,45,45,45,105120,33705,105675,38310,32430,locally-unseen aggregate agent-case,9,9,1.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_2_B.json
experiment_2_qwen,B,Qwen/Qwen3.8-27B-FP8,agent_3,peer_insight_block,agent_1;agent_2;agent_4,INS-001;INS-002;INS-003;INS-004;INS-007;INS-008,6,2410,2420,258,46,681,exact_in_context_delta,747,exact_in_context_delta,45,45,45,108900,33615,105945,38967,33237,locally-unseen aggregate agent-case,9,7,0.7777777777777778,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_3_B.json
experiment_2_qwen,B,Qwen/Qwen3.8-27B-FP8,agent_4,peer_insight_block,agent_1;agent_2;agent_3,INS-001;INS-002;INS-003;INS-004;INS-005;INS-006,6,2361,2378,250,46,690,exact_in_context_delta,754,exact_in_context_delta,45,45,45,107010,33930,105675,39108,33333,locally-unseen aggregate agent-case,9,9,1.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_4_B.json
experiment_2_qwen,E,Qwen/Qwen3.8-27B-FP8,agent_1,peer_insight_block,agent_2;agent_3;agent_4,INS-003;INS-004;INS-005;INS-006;INS-007;INS-008,6,2289,2304,240,46,664,exact_in_context_delta,724,exact_in_context_delta,45,45,45,103680,32580,103740,36390,30705,locally-unseen aggregate agent-case,9,0,0.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_1_E.json
experiment_2_qwen,E,Qwen/Qwen3.8-27B-FP8,agent_2,peer_insight_block,agent_1;agent_3;agent_4,INS-001;INS-002;INS-005;INS-006;INS-007;INS-008,6,2327,2336,244,46,684,exact_in_context_delta,749,exact_in_context_delta,45,45,45,105120,33705,105675,35010,29484,locally-unseen aggregate agent-case,9,0,0.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_2_E.json
experiment_2_qwen,E,Qwen/Qwen3.8-27B-FP8,agent_3,peer_insight_block,agent_1;agent_2;agent_4,INS-001;INS-002;INS-003;INS-004;INS-007;INS-008,6,2410,2420,258,46,681,exact_in_context_delta,747,exact_in_context_delta,45,45,45,108900,33615,105945,41115,35532,locally-unseen aggregate agent-case,9,1,0.1111111111111111,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_3_E.json
experiment_2_qwen,E,Qwen/Qwen3.8-27B-FP8,agent_4,peer_insight_block,agent_1;agent_2;agent_3,INS-001;INS-002;INS-003;INS-004;INS-005;INS-006,6,2361,2378,250,46,690,exact_in_context_delta,754,exact_in_context_delta,45,45,45,107010,33930,105675,38664,32550,locally-unseen aggregate agent-case,9,0,0.0,phase_b/exp2/qwen/inference/repetition_records.jsonl;phase_b/exp2/qwen/evaluation/evaluation_results.json;phase_b/exp2/qwen/config.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_4_E.json
experiment_1_condition_c,C,gpt-5.6-terra,central,pooled_examples_plus_all_insights_two_inserted_blocks,agent_1;agent_2;agent_3;agent_4,INS-001;INS-002;INS-003;INS-004;INS-005;INS-006;INS-007;INS-008,8,12595,12668,1882,112,3650,estimated,3992,estimated_not_executed_for_C,45,45,45,570060,,209118,5869,,all centralized aggregate physical cases,15,15,1.0,icl/inference/c_records.jsonl;icl/full_evaluation/evaluation_results_c.json;icl/pooled_libraries/pooled_examples.json;icl/pooled_libraries/pooled_insights.json;icl/conditions/builder_c.py
